Energy Balances - EurostatEnTable
Energy balances,,,,,,,,,,,,,,
European Union (27 countries) - Total - main fuel families,,,,,,,,,,,,,,
Year                     : 2023                                          Unit                     : GWH,,Total,Solid fossil fuels,Manufactured gases,Peat and peat products,Oil shale and oil sands,Natural gas,Oil and petroleum products (excluding biofuel portion),Renewables and biofuels,Non-renewable waste,Nuclear heat,Electricity,Heat,
Energy sector - petroleum refineries (oil refineries) - energy use,NRG_PR_E,405 592,166,1 163,0,0,63 444,296 406,758,304,0,34 706,8 647,
Energy sector - nuclear industry - energy use,NRG_NI_E,1 300,0,0,0,0,0,0,0,0,0,1 300,0,
Energy sector - coal liquefaction plants - energy use,NRG_CL_E,229,0,0,0,0,0,0,0,0,0,177,53,
Energy sector - liquefaction and regasification plants (LNG) - energy use,NRG_LNG_E,3 646,0,0,0,0,3 476,0,0,0,0,170,0,
Energy sector - gasification plants for biogas - energy use,NRG_BIOG_E,6 974,0,0,0,0,0,0,6 630,0,0,0,344,
Energy sector - gas-to-liquids plants - energy use,NRG_GTL_E,0,0,0,0,0,0,0,0,0,0,0,0,
Energy sector - charcoal production plants - energy use,NRG_CPP_E,0,0,0,0,0,0,0,0,0,0,0,0,
Energy sector - not elsewhere specified - energy use,NRG_NSP_E,44 905,0,3 133,0,0,2 595,11 004,33,0,0,20 453,7 687,
Distribution losses,DL,256 232,418,4 371,5,0,13 124,80,816,3,N/A,175 020,62 397,
Available for final consumption,AFC,10 957 638,167 204,49 273,3 775,-940,2 093 194,4 502 687,1 283 424,56 011,0,2 335 286,467 723,
Statistical differences,STATDIFF,839 593,15 965,194,0,854,112 444,710 137,0,N/A,N/A,N/A,N/A,
Final consumption - non-energy use,FC_NE,10 157 180,169 641,49 367,2 941,0,2 000 442,3 797 897,1 284 391,56 046,N/A,2 329 109,467 345,
Final consumption - energy use,FC_E,-39 136,-18 402,-288,834,-1 794,-19 692,-5 347,-967,-35,0,6 177,377,
Final consumption - other sectors - energy use,FC_OTH_E,2 497 313,99 232,49 367,591,0,782 293,283 645,280 870,52 728,0,815 066,133 521,
Final consumption - other sectors - commercial and public services - energy use,FC_OTH_CP_E,1 371 118,4 768,0,105,0,356 024,84 492,114 665,3 314,0,702 622,105 129,
Final consumption - other sectors - households - energy use,FC_OTH_HH_E,2 667 529,59 388,0,1 755,0,786 682,275 639,626 860,0,0,691 424,225 782,
Final consumption - other sectors - agriculture and forestry - energy use,FC_OTH_AF_E,307 471,5 369,0,490,0,37 274,179 334,36 065,1,0,46 477,2 461,
Final consumption - other sectors - fishing - energy use,FC_OTH_FISH_E,16 008,0,0,0,0,140,14 676,444,0,0,747,0,
Final consumption - other sectors - not elsewhere specified - energy use,FC_OTH_NSP_E,49 158,879,0,0,0,1 293,24 090,20 114,3,0,2 326,452,
Final consumption - transport sector - energy use,FC_TRA_E,3 248 583,4,0,0,0,36 737,2 936 021,205 374,0,0,70 447,0,
Final consumption - transport sector - rail - energy use,FC_TRA_RAIL_E,60 380,4,0,0,0,0,11 621,719,0,0,48 036,0,
Final consumption - transport sector - road - energy use,FC_TRA_ROAD_E,3 048 476,0,0,0,0,24 211,2 804 526,204 059,0,0,15 679,0,
Final consumption - transport sector - domestic aviation - energy use,FC_TRA_DAVI_E,72 254,0,0,0,0,0,72 103,150,0,0,0,0,
Final consumption - transport sector - domestic navigation - energy use,FC_TRA_DNAVI_E,45 801,0,0,0,0,0,45 510,291,0,0,0,0,
Final consumption - transport sector - pipeline transport - energy use,FC_TRA_PIPE_E,15 406,0,0,0,0,12 149,0,0,0,0,3 257,0,
Final consumption - transport sector - not elsewhere specified - energy use,FC_TRA_NSP_E,6 266,0,0,0,0,377,2 259,155,0,0,3 475,0,
Final consumption - industry sector - energy use,FC_IND_E,4 411 285,70 405,0,2 350,0,1 181 413,578 231,798 147,3 319,0,1 443 596,333 824,
Final consumption - industry sector - iron and steel - energy use,FC_IND_IS_E,252 076,24 804,47 598,0,0,76 157,5 743,339,59,0,92 843,4 533,
Final consumption - industry sector - chemical and petrochemical - energy use,FC_IND_CPC_E,512 080,23 438,624,15,0,179 410,81 625,6 023,4 775,0,149 008,67 163,
Final consumption - industry sector - non-ferrous metals - energy use,FC_IND_NFM_E,81 575,1 184,338,0,0,34 403,2 607,58,75,0,41 696,1 213,
Final consumption - industry sector - non-metallic minerals - energy use,FC_IND_NMM_E,347 049,32 485,694,29,0,130 342,59 024,22 378,42 890,0,58 016,1 191,
Final consumption - industry sector - transport equipment - energy use,FC_IND_TE_E,83 479,935,0,0,0,26 677,3 408,2 626,0,0,44 203,5 630,
Final consumption - industry sector - machinery - energy use,FC_IND_MAC_E,173 611,301,111,0,0,54 033,13 996,1 239,30,0,97 079,6 822,
Final consumption - industry sector - mining and quarrying - energy use,FC_IND_MQ_E,40 161,1 706,0,0,0,7 463,9 805,1 007,20,0,18 331,1 830,
"Final consumption - industry sector - food, beverages and tobacco - energy use",FC_IND_FBT_E,308 866,9 231,0,0,0,142 781,19 165,15 879,129,0,107 708,13 972,
"Final consumption - industry sector - paper, pulp and printing - energy use",FC_IND_PPP_E,340 341,3 971,0,510,0,66 965,9 056,153 962,3 310,0,85 292,17 274,
Final consumption - industry sector - wood and wood products - energy use,FC_IND_WP_E,100 101,239,0,36,0,5 045,2 597,61 559,354,0,22 926,7 346,
Final consumption - industry sector - construction - energy use,FC_IND_CON_E,112 597,428,0,0,0,21 784,63 583,3 622,14,0,22 867,299,
Final consumption - industry sector - textile and leather - energy use,FC_IND_TL_E,33 516,79,0,0,0,16 582,1 447,501,1,0,13 942,964,
Final consumption - industry sector - not elsewhere specified - energy use,FC_IND_NSP_E,106 106,430,2,0,0,20 651,11 589,5 923,1 070,0,61 156,5 283,
Gross electricity production,GEP,2 748 558,319 244,23 505,1 353,1 976,458 569,48 417,1 218 484,20 235,619 601,N/A,351,
Gross heat production,GHP,567 535,98 642,6 930,4 023,345,177 665,15 373,195 057,35 909,1 053,3 331,N/A,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Eurostat,,,,,,,,,,,,,
